epoch: 1/300, train_loss: 2.2391, train_acc: 0.1518, test_loss: 2.8580, test_acc: 0.1353 
epoch: 2/300, train_loss: 1.9957, train_acc: 0.2341, test_loss: 2.2146, test_acc: 0.2431 
epoch: 3/300, train_loss: 1.8488, train_acc: 0.2937, test_loss: 1.9938, test_acc: 0.3079 
epoch: 4/300, train_loss: 1.7438, train_acc: 0.3393, test_loss: 1.9089, test_acc: 0.3479 
epoch: 5/300, train_loss: 1.6652, train_acc: 0.3672, test_loss: 1.7892, test_acc: 0.3774 
epoch: 6/300, train_loss: 1.6064, train_acc: 0.3937, test_loss: 1.7365, test_acc: 0.4076 
epoch: 7/300, train_loss: 1.5436, train_acc: 0.4207, test_loss: 1.6819, test_acc: 0.4291 
epoch: 8/300, train_loss: 1.4926, train_acc: 0.4472, test_loss: 1.7228, test_acc: 0.4419 
epoch: 9/300, train_loss: 1.4415, train_acc: 0.4731, test_loss: 1.5857, test_acc: 0.4861 
epoch: 10/300, train_loss: 1.3883, train_acc: 0.4957, test_loss: 1.6251, test_acc: 0.4876 
epoch: 11/300, train_loss: 1.3362, train_acc: 0.5182, test_loss: 1.4501, test_acc: 0.5310 
epoch: 12/300, train_loss: 1.2893, train_acc: 0.5374, test_loss: 1.3759, test_acc: 0.5550 
epoch: 13/300, train_loss: 1.2446, train_acc: 0.5572, test_loss: 1.3159, test_acc: 0.5714 
epoch: 14/300, train_loss: 1.1998, train_acc: 0.5727, test_loss: 1.3254, test_acc: 0.5800 
epoch: 15/300, train_loss: 1.1669, train_acc: 0.5853, test_loss: 1.2971, test_acc: 0.5934 
epoch: 16/300, train_loss: 1.1350, train_acc: 0.5994, test_loss: 1.2027, test_acc: 0.6122 
epoch: 17/300, train_loss: 1.1043, train_acc: 0.6085, test_loss: 1.2980, test_acc: 0.6036 
epoch: 18/300, train_loss: 1.0745, train_acc: 0.6192, test_loss: 1.1952, test_acc: 0.6270 
epoch: 19/300, train_loss: 1.0545, train_acc: 0.6288, test_loss: 1.2345, test_acc: 0.6271 
epoch: 20/300, train_loss: 1.0265, train_acc: 0.6389, test_loss: 1.1891, test_acc: 0.6391 
epoch: 21/300, train_loss: 0.9997, train_acc: 0.6459, test_loss: 1.1117, test_acc: 0.6546 
epoch: 22/300, train_loss: 0.9797, train_acc: 0.6564, test_loss: 1.1369, test_acc: 0.6572 
epoch: 23/300, train_loss: 0.9632, train_acc: 0.6616, test_loss: 1.0754, test_acc: 0.6696 
